year,accommodation,share_pct
2015,Relatives & Friends,69.7
2015,Hotel,18.7
2015,Chalet,2.5
2015,Apartment,4.2
2015,Homestay / Vacation Home,3.1
2015,Rest House,1.8
2016,Relatives & Friends,67.6
2016,Hotel,19.9
2016,Chalet,2.6
2016,Apartment,4.7
2016,Homestay / Vacation Home,3.5
2016,Rest House,1.7
2017,Relatives & Friends,68.1
2017,Hotel,20.5
2017,Chalet,2.5
2017,Apartment,4.6
2017,Homestay / Vacation Home,3.5
2017,Rest House,0.8
2018,Relatives & Friends,68.2
2018,Hotel,20.4
2018,Chalet,2.3
2018,Apartment,4.4
2018,Homestay / Vacation Home,3.0
2018,Rest House,1.7
2019,Relatives & Friends,70.9
2019,Hotel,18.5
2019,Chalet,1.5
2019,Apartment,3.6
2019,Homestay / Vacation Home,3.8
2019,Rest House,1.7
2020,Relatives & Friends,65.1
2020,Hotel,24.1
2020,Chalet,0.8
2020,Apartment,2.3
2020,Homestay / Vacation Home,3.8
2020,Rest House,3.9
2021,Relatives & Friends,58.6
2021,Hotel,29.5
2021,Chalet,3.1
2021,Apartment,2.6
2021,Homestay / Vacation Home,4.5
2021,Rest House,1.7
2022,Relatives & Friends,67.9
2022,Hotel,21.2
2022,Chalet,1.9
2022,Apartment,3.3
2022,Homestay / Vacation Home,3.4
2022,Rest House,2.3
2023,Relatives & Friends,61.3
2023,Hotel,22.3
2023,Chalet,3.1
2023,Apartment,3.9
2023,Homestay / Vacation Home,6.7
2023,Rest House,2.7
2024,Relatives & Friends,60.4
2024,Hotel,21.7
2024,Chalet,2.0
2024,Apartment,4.7
2024,Homestay / Vacation Home,8.6
2024,Rest House,2.6
