year,state,visitors_thousands,state_year
2017,Johor,13140.6,Johor|2017
2018,Johor,13487.2,Johor|2018
2019,Johor,14274.0,Johor|2019
2020,Johor,7243.0,Johor|2020
2021,Johor,3657.6,Johor|2021
2022,Johor,12376.2,Johor|2022
2023,Johor,15804.9,Johor|2023
2024,Johor,17138.3,Johor|2024
2017,Kedah,13304.5,Kedah|2017
2018,Kedah,14480.0,Kedah|2018
2019,Kedah,14831.0,Kedah|2019
2020,Kedah,10108.0,Kedah|2020
2021,Kedah,4023.0,Kedah|2021
2022,Kedah,11186.2,Kedah|2022
2023,Kedah,13444.1,Kedah|2023
2024,Kedah,14651.5,Kedah|2024
2017,Kelantan,9623.7,Kelantan|2017
2018,Kelantan,9846.1,Kelantan|2018
2019,Kelantan,10986.0,Kelantan|2019
2020,Kelantan,6058.0,Kelantan|2020
2021,Kelantan,1920.9,Kelantan|2021
2022,Kelantan,6627.2,Kelantan|2022
2023,Kelantan,7549.4,Kelantan|2023
2024,Kelantan,10514.4,Kelantan|2024
2017,Melaka,12625.0,Melaka|2017
2018,Melaka,13122.6,Melaka|2018
2019,Melaka,13979.0,Melaka|2019
2020,Melaka,7275.0,Melaka|2020
2021,Melaka,3878.1,Melaka|2021
2022,Melaka,11757.2,Melaka|2022
2023,Melaka,15558.7,Melaka|2023
2024,Melaka,19128.4,Melaka|2024
2017,Negeri Sembilan,10822.3,Negeri Sembilan|2017
2018,Negeri Sembilan,12802.1,Negeri Sembilan|2018
2019,Negeri Sembilan,13303.0,Negeri Sembilan|2019
2020,Negeri Sembilan,7918.0,Negeri Sembilan|2020
2021,Negeri Sembilan,5485.2,Negeri Sembilan|2021
2022,Negeri Sembilan,11490.1,Negeri Sembilan|2022
2023,Negeri Sembilan,14959.5,Negeri Sembilan|2023
2024,Negeri Sembilan,17784.5,Negeri Sembilan|2024
2017,Pahang,16491.3,Pahang|2017
2018,Pahang,18111.4,Pahang|2018
2019,Pahang,18498.0,Pahang|2019
2020,Pahang,9905.0,Pahang|2020
2021,Pahang,3404.8,Pahang|2021
2022,Pahang,13189.0,Pahang|2022
2023,Pahang,16455.6,Pahang|2023
2024,Pahang,20173.9,Pahang|2024
2017,Pulau Pinang,12642.6,Pulau Pinang|2017
2018,Pulau Pinang,14450.5,Pulau Pinang|2018
2019,Pulau Pinang,15411.0,Pulau Pinang|2019
2020,Pulau Pinang,8929.0,Pulau Pinang|2020
2021,Pulau Pinang,5060.9,Pulau Pinang|2021
2022,Pulau Pinang,10002.7,Pulau Pinang|2022
2023,Pulau Pinang,13127.6,Pulau Pinang|2023
2024,Pulau Pinang,16604.8,Pulau Pinang|2024
2017,Perak,20109.7,Perak|2017
2018,Perak,17553.2,Perak|2018
2019,Perak,21070.0,Perak|2019
2020,Perak,13173.0,Perak|2020
2021,Perak,4489.3,Perak|2021
2022,Perak,14566.7,Perak|2022
2023,Perak,17107.5,Perak|2023
2024,Perak,21776.2,Perak|2024
2017,Perlis,1413.6,Perlis|2017
2018,Perlis,2155.5,Perlis|2018
2019,Perlis,2088.0,Perlis|2019
2020,Perlis,1193.0,Perlis|2020
2021,Perlis,406.8,Perlis|2021
2022,Perlis,1669.2,Perlis|2022
2023,Perlis,1950.8,Perlis|2023
2024,Perlis,3225.4,Perlis|2024
2017,Selangor,25491.2,Selangor|2017
2018,Selangor,30179.0,Selangor|2018
2019,Selangor,33589.0,Selangor|2019
2020,Selangor,19715.0,Selangor|2020
2021,Selangor,10211.6,Selangor|2021
2022,Selangor,21989.6,Selangor|2022
2023,Selangor,27579.5,Selangor|2023
2024,Selangor,34460.8,Selangor|2024
2017,Terengganu,12979.4,Terengganu|2017
2018,Terengganu,13742.4,Terengganu|2018
2019,Terengganu,14158.0,Terengganu|2019
2020,Terengganu,7420.0,Terengganu|2020
2021,Terengganu,3719.1,Terengganu|2021
2022,Terengganu,10233.3,Terengganu|2022
2023,Terengganu,11760.5,Terengganu|2023
2024,Terengganu,14460.7,Terengganu|2024
2017,Sabah,17791.7,Sabah|2017
2018,Sabah,20359.9,Sabah|2018
2019,Sabah,22035.0,Sabah|2019
2020,Sabah,10337.0,Sabah|2020
2021,Sabah,3815.0,Sabah|2021
2022,Sabah,12589.0,Sabah|2022
2023,Sabah,16080.1,Sabah|2023
2024,Sabah,20591.8,Sabah|2024
